epoch,step,train_loss,val_loss
0,49,0.47979286313056946,
0,99,0.3489934504032135,
0,149,0.34431737661361694,
0,199,0.4048807919025421,
0,249,0.36370357871055603,
0,299,0.32898277044296265,
0,349,0.4024379849433899,
0,367,,0.3278902471065521
1,399,0.3353397846221924,
1,449,0.3769116699695587,
1,499,0.2978324890136719,
1,549,0.3399321138858795,
1,599,0.35329121351242065,
1,649,0.2892959713935852,
1,699,0.3221142888069153,
1,735,,0.3300265073776245
2,749,0.3329410254955292,
2,799,0.3229508101940155,
